Titulo,Tipo,Qtd Estilo,Estilos,Qtd Personagens Reais,Qtd Personagens Imaginarios,Qtd Personagens Criancas,Qtd Personagens Adultos,Qtd Personagens Idosos,Qtd Personagens Animais,Qtd Locais,Locais,Qtd Turnos,Turnos,Qtd Publicos,Publicos,Periodo
Saci,Lenda,1,Aventura,0,1,1,0,0,0,1,Floresta,2,Dia;Noite,3,Criança;Adulto;Idoso,Não definido
Cumadre Fulozinha,História,2,Ação;Terror,1,1,1,1,0,1,2,Mangue;Floresta,2,Dia;Noite,2,Adulto;Idoso,Não definido
Botijas de Ouro,História,1,Ação,1,1,0,1,1,0,1,Rural,1,Noite,2,Adulto;Idoso,Não definido
Procissao das Almas,História,1,Terror,1,1,0,1,1,0,2,Rural;Urbano,1,Noite,2,Adulto;Idoso,Não definido
Batatao,História,1,Terror,1,1,0,1,1,0,1,Rural,1,Noite,2,Adulto;Idoso,Não definido
Pesador,História,1,Terror,1,1,1,1,1,0,2,Rural;Urbano,1,Noite,3,Criança;Adulto;Idoso,Não definido
Corpo Seco,História,1,Terror,1,1,0,1,1,0,1,Rural,1,Noite,2,Adulto;Idoso,Não definido
Mula sem Cabeca,Lenda,1,Terror,1,1,0,1,1,1,1,Floresta,1,Noite,2,Adulto;Idoso,Não definido
Vitoria-Regia,Conto,1,Aventura,1,1,1,1,0,0,1,Rural,1,Dia,3,Criança;Adulto;Idoso,Não definido
Lobsomen,História,1,Terror,1,1,0,1,0,1,1,Floresta,1,Noite,2,Adulto;Idoso,Não definido
Boto Cor de Rosa,Conto,1,Aventura,1,1,0,2,0,1,1,Floresta,1,Noite,3,Criança;Adulto;Idoso,Não definido
Iara,Conto,1,Ação,1,1,0,1,1,0,1,Litoral,1,Dia,3,Criança;Adulto;Idoso,Não definido
